Policies,estimate
Pool 4,1.5257393086847368
Pool 4,1.4557606123385318
Pool 4,1.4559285568368663
Pool 4,1.5414465595578462
Pool 4,1.4005089339137928
Pool 4,1.4656506619785996
Pool 4,1.3915566098824095
Pool 4,1.4427164488576756
Pool 4,1.5446477076388256
Pool 4,1.5607745140547966
Pool 4,1.4865637628676676
Pool 4,1.5082272496436184
Pool 4,1.3521530334856493
Pool 4,1.6346635155888642
Pool 4,1.5059406897876257
Pool 4,1.50449060177552
Pool 4,1.5700736439247631
Pool 4,1.503618028326647
Pool 4,1.592492139550547
Pool 4,1.5912329410010828
Pool 4,1.544440031254992
Pool 4,1.3382132845201091
Pool 4,1.6096164552508596
Pool 4,1.5898512253459405
Pool 4,1.4866213416918403
Pool 4,1.3514075303980093
Pool 4,1.4845923422171685
Pool 4,1.5644790001571136
Pool 4,1.5703776931751883
Pool 4,1.5183836710479945
Pool 4,1.597898365367346
Pool 4,1.5465088682619865
Pool 4,1.5449015564291022
Pool 4,1.4589429706884551
Pool 4,1.5542870020924064
Pool 4,1.5494535883159377
Pool 4,1.477884511189603
Pool 4,1.629436982124908
Pool 4,1.5233290687325645
Pool 4,1.634181483515144
Pool 4,1.5023784455782438
Pool 4,1.5443541098529487
Pool 4,1.497105676405614
Pool 4,1.5575528246281403
Pool 4,1.4595579788797886
Pool 4,1.4263484214289877
Pool 4,1.477204514777289
Pool 4,1.5270125868717341
Pool 4,1.5146447600199173
Pool 4,1.3374022736884366
Pool 4,1.5407705670472334
Pool 4,1.5118705302119466
Pool 4,1.5493284126093405
Pool 4,1.4648632255289518
Pool 4,1.5008709796052735
Pool 4,1.4580594635607407
Pool 4,1.4832474036681162
Pool 4,1.3850192146635374
Pool 4,1.5052767032908474
Pool 4,1.4998567833293162
Pool 4,1.416851639005881
Pool 4,1.490040988748854
Pool 4,1.453265240217189
Pool 4,1.4838765149234152
Pool 4,1.4546884464289394
Pool 4,1.6166575960726268
Pool 4,1.5431959894920955
Pool 4,1.5162203016060622
Pool 4,1.6473694506930927
Pool 4,1.3765197724140168
Pool 4,1.4451077616738253
Pool 4,1.5913794508223507
Pool 4,1.4645722285194775
Pool 4,1.5097906849285094
Pool 4,1.5284087630271017
Pool 4,1.4927296489670514
Pool 4,1.5579883363863487
Pool 4,1.3477481673046399
Pool 4,1.4679569470185962
Pool 4,1.525375833830343
Pool 4,1.5796587480451636
Pool 4,1.556616772933621
Pool 4,1.6302173058089562
Pool 4,1.5730070934026052
Pool 4,1.419913670447639
Pool 4,1.555972846970493
Pool 4,1.4614270836976913
Pool 4,1.3964997605246199
Pool 4,1.4800908527868193
Pool 4,1.518505657724864
Pool 4,1.4900290603786999
Pool 4,1.4258654154598662
Pool 4,1.439130931735318
Pool 4,1.5788436619790267
Pool 4,1.5538687079119782
Pool 4,1.5897713476037656
Pool 4,1.413463530274327
Pool 4,1.4472461465238302
Pool 4,1.5352454759870855
Pool 4,1.5077693910452858
Pool 4,1.5782036623589775
Pool 4,1.3994578684037633
Pool 4,1.4742529254255061
Pool 4,1.6200467239468914
Pool 4,1.4874162313015618
Pool 4,1.4914715978413977
Pool 4,1.5355236627444278
Pool 4,1.3548144837426794
Pool 4,1.4716498092309922
Pool 4,1.4991364965378071
Pool 4,1.476929447193955
Pool 4,1.391988340837462
Pool 4,1.3790954405691553
Pool 4,1.5958201666977094
Pool 4,1.4886627130714047
Pool 4,1.5143085879048173
Pool 4,1.5044390924864919
Pool 4,1.5350067874073638
Pool 4,1.4395092004995678
Pool 4,1.565217011628688
Pool 4,1.5222804840292916
Pool 4,1.416244083353048
Pool 4,1.393941576742201
Pool 4,1.578924250339946
Pool 4,1.4795392877183915
Pool 4,1.4596703256544572
Pool 4,1.5551346528777679
Pool 4,1.525334773329924
Pool 4,1.4147040704118916
Pool 4,1.4832021699615976
Pool 4,1.4612789491749678
Pool 4,1.4904701900888633
Pool 4,1.4744572273209644
Pool 4,1.4545805369649338
Pool 4,1.4449305411827955
Pool 4,1.5931559088236078
Pool 4,1.486319605164607
Pool 4,1.5765015703206453
Pool 4,1.4971191671125725
Pool 4,1.4132179578424753
Pool 4,1.5451051048728122
Pool 4,1.5316867234812845
Pool 4,1.4923903854298382
Pool 4,1.4421661279667197
Pool 4,1.4519144906704278
Pool 4,1.493850821804543
Pool 4,1.4869240601760003
Pool 4,1.4018715613855675
Pool 4,1.5012405895106902
Pool 4,1.5532309344844744
Pool 4,1.4335840943596163
Pool 4,1.4986138313163935
Pool 4,1.4915756237649338
Pool 4,1.3911517771282806
Pool 4,1.5070957363974564
Pool 4,1.4043366204721772
Pool 4,1.3828902489776742
Pool 4,1.5600927800264401
Pool 4,1.467858151362153
Pool 4,1.5604881044507488
Pool 4,1.5548796522461146
Pool 4,1.5359762562837296
Pool 4,1.462954906048725
Pool 4,1.4779499076768943
Pool 4,1.5314247946645108
Pool 4,1.471129015112554
Pool 4,1.5145811422593873
Pool 4,1.5979695734508366
Pool 4,1.4861756498029504
Pool 4,1.5275331700128931
