Policies,estimate,Pooling
"c(1, 1, 3)",-0.011213572570720004,Pruned
"c(1, 1, 3)",0.17310604012020628,Pruned
"c(1, 2, 1)",0.13748107471554444,Pruned
"c(1, 2, 1)",0.25423304510891015,Pruned
"c(1, 2, 1)",-0.1046171231201856,Pruned
"c(1, 2, 1)",-0.08119646057338828,Pruned
"c(1, 2, 1)",0.13812048058737664,Pruned
"c(1, 2, 1)",-0.007049303537601708,Pruned
"c(1, 2, 1)",-0.16736541091292764,Pruned
"c(1, 2, 1)",0.058288314604163,Pruned
"c(1, 2, 1)",-0.08049587231333744,Pruned
"c(1, 2, 1)",-0.03192881387596615,Pruned
"c(1, 2, 1)",0.042184521068602425,Pruned
"c(1, 2, 1)",-0.23850185755455341,Pruned
"c(1, 2, 1)",0.12650570482705095,Pruned
"c(1, 2, 1)",-0.14736113562849518,Pruned
"c(1, 2, 1)",-0.029136840579956816,Pruned
"c(1, 2, 1)",-0.33991822071842026,Pruned
"c(1, 2, 1)",0.003317142922133668,Pruned
"c(1, 2, 1)",-0.07262854534809944,Pruned
"c(1, 2, 1)",0.004358320665977137,Pruned
"c(1, 2, 1)",0.0072736403433503885,Pruned
"c(1, 2, 1)",-0.20306876972126833,Pruned
"c(1, 2, 1)",-0.037604288486082625,Pruned
"c(1, 2, 1)",-0.15218985230062473,Pruned
"c(1, 2, 1)",-0.013112409684691694,Pruned
"c(1, 2, 1)",0.24873491884220794,Pruned
"c(1, 2, 1)",-0.06678001694850723,Pruned
"c(1, 2, 1)",-0.15946049134566553,Pruned
"c(1, 2, 1)",-0.08331818917254544,Pruned
"c(1, 2, 1)",-0.041923366884352206,Pruned
"c(1, 2, 1)",-0.06631782022903539,Pruned
"c(1, 2, 1)",-0.15943097755539315,Pruned
"c(1, 2, 1)",0.08578893306777832,Pruned
"c(1, 2, 1)",0.31188280776041494,Pruned
"c(1, 2, 1)",0.028561850342300896,Pruned
"c(1, 2, 1)",0.28832992663025436,Pruned
"c(1, 2, 1)",-0.06871054653013135,Pruned
"c(1, 2, 1)",0.17622458403464866,Pruned
"c(1, 2, 1)",0.12820052041673904,Pruned
"c(1, 2, 1)",0.10936110185638509,Pruned
"c(1, 2, 1)",0.20396327290170427,Pruned
"c(1, 2, 1)",-0.052537115249792564,Pruned
"c(1, 2, 1)",-0.13187926630614455,Pruned
"c(1, 2, 1)",-0.14030432203570856,Pruned
"c(1, 2, 1)",-0.15604640806122624,Pruned
"c(1, 2, 1)",-0.26612470062227433,Pruned
"c(1, 2, 1)",0.10008109327153429,Pruned
"c(1, 2, 1)",0.09681628242930837,Pruned
"c(1, 2, 1)",0.06240348992446805,Pruned
"c(1, 2, 1)",0.29960124035064845,Pruned
"c(1, 2, 1)",0.22021027769897392,Pruned
"c(1, 2, 1)",0.02404760006692604,Pruned
"c(1, 2, 1)",0.029658232368008717,Pruned
"c(1, 2, 1)",0.18451013699703891,Pruned
"c(1, 2, 1)",-0.03809279180171554,Pruned
"c(1, 2, 1)",-0.0607795633247993,Pruned
"c(1, 2, 1)",0.2620389378703435,Pruned
"c(1, 2, 1)",0.37046389034719074,Pruned
"c(1, 2, 1)",0.03967552798016756,Pruned
"c(1, 2, 1)",0.3089680363597513,Pruned
"c(1, 2, 1)",0.3015455748439641,Pruned
"c(1, 2, 1)",0.25372510915682095,Pruned
"c(1, 2, 1)",0.2865293193654165,Pruned
